naam|cijfer|adres|latitude|longitude
 Warung  Mini |4.0| Witte  de  Withstraat  47 |51.9157768|4.477239
Boguette|4.5| Botersloot  60-A |51.9218474|4.4882845
Picknick|4.5| Mariniersweg  259 |51.92212|4.4894299
 Ter  Marsch  &  Co |4.5| Witte  De  Withstraat  70 |51.9152946|4.4764519
Koekela|4.5| Nieuwe  Binnenweg  79A |51.9163017|4.4690099
 Dim  Daily |4.5| Rodezand  48 |51.9207687|4.4818902
Burgertrut|4.0| Hang  5 |51.92013|4.48535
 Jordy's  Bakery |4.5| Nieuwe  Binnenweg  97a |51.9160995|4.4681301
 Jaffa  Express |4.5| Witte  de  Withstraat  44 |51.9154854|4.4771991
 Wereldeethuis  Bazar |4.0| Witte  de  Withstraat  16 |51.9159584|4.4790101
Hopper|4.0| Schiedamse  Vest  146 |51.9165001|4.4802999
 Kiem  Foei |4.0| West-Kruiskade  29 |51.9206619|4.469523
 Bierhandel  de  Pijp |5.0| Gaffelstraat  90 |51.9158783|4.4674759
 Lebkov  &  Sons  Rotterdam |4.0| Stationsplein  50 |51.923673776|4.4688608439
Izkaya|4.0| Lijnbaan  40-42 |51.9229584|4.4758601
 Lof  der  Zoetheid |4.0| Noordplein  1 |51.9309998|4.4854898
 La  Pizza |4.5| Scheepstimmermanslaan  21 |51.9105415|4.4775858
